commit_group	phase	status	path	category	include	reason	risk
A	12	untracked	docs/anpi-phase12-talk-staging-schema-apply.md	runbook	YES	formal reproducibility / audit artifact	LOW
A	15	untracked	docs/anpi-phase15-talk-identity-mapping-apply.md	runbook	YES	formal reproducibility / audit artifact	LOW
B	16	untracked	docs/anpi-phase16-real-insert-enablement-checklist.md	runbook	YES	formal reproducibility / audit artifact	LOW
B	16	untracked	docs/anpi-phase16-realtime-retention-enablement.md	runbook	YES	formal reproducibility / audit artifact	LOW
B	17	untracked	docs/anpi-phase17-first-staging-insert-readiness.md	runbook	YES	formal reproducibility / audit artifact	LOW
C	18	untracked	docs/anpi-phase18-first-staging-notification-insert-runbook.md	runbook	YES	formal reproducibility / audit artifact	LOW
EXCLUDE	11	untracked	reports/_anpi-phase11-audit/_talk-tables.sql	temporary	NO	Phase11 evidence outside Phase12-18 commit scope	LOW
EXCLUDE	11	untracked	reports/_anpi-phase11-audit/staging-parity-summary.json	raw_evidence	NO	Phase11 evidence outside Phase12-18 commit scope	LOW
EXCLUDE	13	untracked	reports/_anpi-phase13-apply/apply-output.json.txt	raw_evidence	NO	regenerable step evidence; formal report summarizes	MEDIUM
EXCLUDE	13	untracked	reports/_anpi-phase13-apply/apply-tx.sql	temporary	NO	regenerable step evidence; formal report summarizes	MEDIUM
EXCLUDE	13	untracked	reports/_anpi-phase13-apply/phase11-reaudit.txt	raw_evidence	NO	regenerable step evidence; formal report summarizes	MEDIUM
EXCLUDE	13	untracked	reports/_anpi-phase13-apply/phase11-static.txt	raw_evidence	NO	regenerable step evidence; formal report summarizes	MEDIUM
EXCLUDE	13	untracked	reports/_anpi-phase13-apply/postcheck-detail.json.txt	raw_evidence	NO	regenerable step evidence; formal report summarizes	MEDIUM
EXCLUDE	13	untracked	reports/_anpi-phase13-apply/postcheck-detail.sql	temporary	NO	regenerable step evidence; formal report summarizes	MEDIUM
EXCLUDE	13	untracked	reports/_anpi-phase13-apply/preflight.sql	temporary	NO	regenerable step evidence; formal report summarizes	MEDIUM
EXCLUDE	14	untracked	reports/_anpi-phase14-hardening/apply-output.json.txt	raw_evidence	NO	regenerable step evidence; formal report summarizes	MEDIUM
EXCLUDE	14	untracked	reports/_anpi-phase14-hardening/apply-tx.sql	temporary	NO	regenerable step evidence; formal report summarizes	MEDIUM
EXCLUDE	14	untracked	reports/_anpi-phase14-hardening/final-foundation-audit.txt	raw_evidence	NO	regenerable step evidence; formal report summarizes	MEDIUM
EXCLUDE	14	untracked	reports/_anpi-phase14-hardening/identity-match-result.json.txt	raw_evidence	NO	regenerable step evidence; formal report summarizes	MEDIUM
EXCLUDE	14	untracked	reports/_anpi-phase14-hardening/identity-match.sql	temporary	NO	regenerable step evidence; formal report summarizes	MEDIUM
EXCLUDE	14	untracked	reports/_anpi-phase14-hardening/identity-result.json.txt	raw_evidence	NO	regenerable step evidence; formal report summarizes	MEDIUM
EXCLUDE	14	untracked	reports/_anpi-phase14-hardening/identity.sql	temporary	NO	regenerable step evidence; formal report summarizes	MEDIUM
